raw_reward_magnitude,stim_reward,stepwise_reward_magnitude,paired_with_stopping,stim_location,response,reaction_time,block,which_phase,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
417.0,8.0,4.0,1,3.0,3.0,384.829044342,2.0,phase_1,,,,,,,,,,,,,green,diamond
41.0,1.0,1.0,1,3.0,3.0,351.18389129599996,2.0,phase_1,,,,,,,,,,,,,blue,line
418.0,8.0,4.0,1,2.0,2.0,317.543029785,2.0,phase_1,,,,,,,,,,,,,green,diamond
48.0,1.0,1.0,1,2.0,2.0,333.72592926,2.0,phase_1,,,,,,,,,,,,,blue,line
0.0,3.0,0.0,1,3.0,3.0,350.05903243999995,2.0,phase_1,,,,,,,,,,,,,orange,cross
185.0,7.0,3.0,0,4.0,4.0,350.919961929,2.0,phase_1,,,,,,,,,,,,,yellow,circle
380.0,8.0,4.0,1,1.0,1.0,400.34008026099997,2.0,phase_1,,,,,,,,,,,,,green,diamond
100.0,6.0,2.0,1,3.0,3.0,317.79479980499997,2.0,phase_1,,,,,,,,,,,,,cyan,square
58.0,5.0,1.0,0,1.0,1.0,334.032058716,2.0,phase_1,,,,,,,,,,,,,gray,triangle
82.0,6.0,2.0,1,4.0,4.0,350.61788559,2.0,phase_1,,,,,,,,,,,,,cyan,square
0.0,6.0,0.0,1,4.0,4.0,367.390871048,2.0,phase_1,,,,,,,,,,,,,cyan,square
403.0,8.0,4.0,1,2.0,2.0,318.181037903,2.0,phase_1,,,,,,,,,,,,,green,diamond
219.0,3.0,3.0,1,4.0,4.0,334.769964218,2.0,phase_1,,,,,,,,,,,,,orange,cross
198.0,3.0,3.0,1,2.0,2.0,317.49892234799995,2.0,phase_1,,,,,,,,,,,,,orange,cross
36.0,1.0,1.0,1,2.0,2.0,301.16891861,2.0,phase_1,,,,,,,,,,,,,blue,line
412.0,4.0,4.0,0,2.0,2.0,317.34800338699995,2.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
0.0,3.0,0.0,1,3.0,3.0,367.51389503499996,2.0,phase_1,,,,,,,,,,,,,orange,cross
401.0,8.0,4.0,1,4.0,4.0,317.625045776,2.0,phase_1,,,,,,,,,,,,,green,diamond
419.0,4.0,4.0,0,3.0,3.0,351.326942444,2.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
77.0,6.0,2.0,1,3.0,3.0,451.523780823,3.0,phase_1,,,,,,,,,,,,,cyan,square
83.0,6.0,2.0,1,1.0,1.0,317.029953003,3.0,phase_1,,,,,,,,,,,,,cyan,square
416.0,4.0,4.0,0,2.0,2.0,300.82011222799997,3.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
423.0,8.0,4.0,1,2.0,2.0,318.073034286,3.0,phase_1,,,,,,,,,,,,,green,diamond
192.0,3.0,3.0,1,3.0,3.0,334.733009338,3.0,phase_1,,,,,,,,,,,,,orange,cross
0.0,7.0,0.0,0,1.0,1.0,317.390918732,3.0,phase_1,,,,,,,,,,,,,yellow,circle
418.0,8.0,4.0,1,1.0,1.0,351.40109062199997,3.0,phase_1,,,,,,,,,,,,,green,diamond
220.0,3.0,3.0,1,1.0,1.0,334.361076355,3.0,phase_1,,,,,,,,,,,,,orange,cross
37.0,5.0,1.0,0,2.0,2.0,317.368984222,3.0,phase_1,,,,,,,,,,,,,gray,triangle
0.0,6.0,0.0,1,1.0,1.0,367.59305000300003,3.0,phase_1,,,,,,,,,,,,,cyan,square
384.0,4.0,4.0,0,2.0,2.0,284.470796585,3.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
216.0,7.0,3.0,0,4.0,4.0,435.122013092,3.0,phase_1,,,,,,,,,,,,,yellow,circle
0.0,6.0,0.0,1,2.0,2.0,300.30798912,3.0,phase_1,,,,,,,,,,,,,cyan,square
184.0,7.0,3.0,0,1.0,1.0,334.48195457500003,3.0,phase_1,,,,,,,,,,,,,yellow,circle
114.0,2.0,2.0,0,2.0,2.0,334.59186553999996,3.0,phase_1,,,,,,,,,,,,,white,hexagon
179.0,7.0,3.0,0,3.0,3.0,334.238052368,3.0,phase_1,,,,,,,,,,,,,yellow,circle
201.0,7.0,3.0,0,1.0,1.0,283.565044403,3.0,phase_1,,,,,,,,,,,,,yellow,circle
96.0,2.0,2.0,0,1.0,1.0,334.30981636,3.0,phase_1,,,,,,,,,,,,,white,hexagon
0.0,3.0,0.0,1,3.0,3.0,368.234872818,3.0,phase_1,,,,,,,,,,,,,orange,cross
117.0,2.0,2.0,0,4.0,4.0,584.8639011380001,3.0,phase_1,,,,,,,,,,,,,white,hexagon
388.0,4.0,4.0,0,4.0,4.0,367.37203598,3.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
0.0,3.0,0.0,1,1.0,1.0,317.243099213,3.0,phase_1,,,,,,,,,,,,,orange,cross
