stepwise_reward_magnitude,paired_with_stopping,quadrant,response,reaction_time,block,which_part,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
1.0,0,6.0,6.0,283.86306762699996,7.0,part_2,go,550.0,350.0,1.0,,,,,,,,,cyan,flipped triangle
1.0,1,6.0,6.0,601.628065109,7.0,part_2,go,550.0,350.0,1.0,,,,,,,,,white,cross
4.0,1,5.0,5.0,400.89678764300004,7.0,part_2,go,550.0,350.0,1.0,,,,,,,,,magenta,triangle
4.0,0,6.0,6.0,434.51309204100005,7.0,part_2,go,550.0,350.0,1.0,,,,,,,,,orange,line
1.0,0,5.0,5.0,283.963918686,7.0,part_2,go,550.0,350.0,1.0,,,,,,,,,cyan,flipped triangle
2.0,0,6.0,6.0,333.81319046000004,7.0,part_2,go,550.0,350.0,1.0,,,,,,,,,gray,hexagon
0.5,0,5.0,5.0,367.484092712,7.0,part_2,go,550.0,350.0,1.0,,,,,,,,,green,square
2.0,0,5.0,5.0,601.21679306,7.0,part_2,go,550.0,350.0,1.0,,,,,,,,,gray,hexagon
4.0,1,5.0,5.0,550.508022308,7.0,part_2,stop,500.0,350.0,3.0,,,,,,,,,magenta,triangle
2.0,0,5.0,5.0,500.597953796,7.0,part_2,go,500.0,350.0,1.0,,,,,,,,,gray,hexagon
0.5,1,6.0,6.0,467.596054077,7.0,part_2,stop,500.0,300.0,3.0,,,,,,,,,yellow,circle
1.0,1,6.0,6.0,801.264047623,7.0,part_2,go,500.0,300.0,1.0,,,,,,,,,white,cross
2.0,0,5.0,5.0,550.621032715,7.0,part_2,go,500.0,300.0,1.0,,,,,,,,,gray,hexagon
2.0,1,6.0,6.0,383.743047714,7.0,part_2,stop,500.0,250.0,3.0,,,,,,,,,blue,diamond
1.0,1,5.0,,,7.0,,stop,450.0,250.0,4.0,,,,,,,,,white,cross
4.0,0,6.0,6.0,784.4018936159999,7.0,part_2,go,450.0,250.0,1.0,,,,,,,,,orange,line
4.0,0,6.0,6.0,483.76178741499996,7.0,part_2,go,450.0,250.0,1.0,,,,,,,,,orange,line
2.0,1,5.0,5.0,634.84621048,7.0,part_2,stop,500.0,250.0,3.0,,,,,,,,,blue,diamond
4.0,0,5.0,5.0,667.757034302,7.0,part_2,go,500.0,250.0,1.0,,,,,,,,,orange,line
4.0,1,6.0,,,7.0,,stop,500.0,200.0,4.0,,,,,,,,,magenta,triangle
0.5,0,6.0,6.0,517.986059189,7.0,part_2,go,500.0,200.0,1.0,,,,,,,,,green,square
0.5,0,6.0,6.0,551.036119461,7.0,part_2,go,500.0,200.0,1.0,,,,,,,,,green,square
0.5,0,6.0,6.0,534.1749191279999,7.0,part_2,go,500.0,200.0,1.0,,,,,,,,,green,square
4.0,0,6.0,6.0,584.55491066,7.0,part_2,go,500.0,200.0,1.0,,,,,,,,,orange,line
4.0,1,5.0,5.0,517.683029175,7.0,part_2,stop,450.0,200.0,3.0,,,,,,,,,magenta,triangle
0.5,0,5.0,5.0,350.886106491,8.0,part_2,go,450.0,200.0,1.0,,,,,,,,,green,square
2.0,1,6.0,6.0,450.92797279399997,8.0,part_2,go,450.0,200.0,1.0,,,,,,,,,blue,diamond
0.5,0,6.0,6.0,367.155075073,8.0,part_2,go,450.0,200.0,1.0,,,,,,,,,green,square
2.0,1,6.0,6.0,317.79718399,8.0,part_2,stop,450.0,250.0,3.0,,,,,,,,,blue,diamond
1.0,0,5.0,5.0,567.677021027,8.0,part_2,go,450.0,250.0,1.0,,,,,,,,,cyan,flipped triangle
